index,Sample Number,Total Number,16-20mm,21-25mm,26-30mm,31-35mm,36-40mm,41-45mm,46-50mm,51-55mm,56-60mm,61-65mm,Date,year,month
103,94024,53,0,0,0,1,1,15,32,4,0,0,1995-02-02,1995,2
104,94025,52,0,0,0,2,2,29,11,8,0,0,1995-02-02,1995,2
105,94026,55,0,0,1,6,7,16,22,3,0,0,1995-02-06,1995,2
106,94027,57,0,0,0,0,4,20,30,3,0,0,1995-02-06,1995,2
107,94028,50,0,0,0,2,2,10,28,8,0,0,1995-02-06,1995,2
108,94029,24,0,0,0,0,4,13,6,1,0,0,1995-02-06,1995,2
109,94030,52,0,0,1,1,2,20,25,3,0,0,1995-02-06,1995,2
110,94031,51,0,0,0,0,1,17,23,10,0,0,1995-02-13,1995,2
111,94032,48,0,0,0,0,1,10,24,11,2,0,1995-02-13,1995,2
112,94033,41,1,0,0,0,2,14,21,3,0,0,1995-02-13,1995,2
113,94034,58,0,0,0,0,3,18,24,12,1,0,1995-02-13,1995,2
114,94035,62,0,0,0,3,2,18,31,8,0,0,1995-02-13,1995,2
115,94036,56,0,0,0,1,4,24,23,4,0,0,1995-02-18,1995,2
116,94037,50,0,0,0,1,6,20,22,1,0,0,1995-02-18,1995,2
117,94038,52,0,0,1,8,6,12,20,5,0,0,1995-02-18,1995,2
118,94039,51,0,0,0,1,4,18,25,3,0,0,1995-02-18,1995,2
119,94040,49,0,0,0,2,6,23,14,4,0,0,1995-02-18,1995,2
120,95001,50,0,0,0,1,1,10,27,11,0,0,1996-01-11,1996,1
121,95002,74,0,0,0,0,0,4,47,22,1,0,1996-01-11,1996,1
122,95003,62,0,0,0,0,0,12,35,15,0,0,1996-01-11,1996,1
123,95004,58,0,0,0,0,3,10,24,21,0,0,1996-01-11,1996,1
124,95005,70,5,12,6,1,0,1,20,25,0,0,1996-01-11,1996,1
125,95006,50,0,0,9,0,0,3,20,15,3,0,1996-01-16,1996,1
126,95007,56,0,5,17,12,3,17,2,0,0,0,1996-01-16,1996,1
127,95008,54,0,0,0,0,0,1,15,27,11,0,1996-01-16,1996,1
128,95009,51,1,3,5,2,3,10,25,2,0,0,1996-01-16,1996,1
129,95010,55,0,1,0,2,6,6,23,17,0,0,1996-01-16,1996,1
130,95011,56,0,0,4,28,3,11,8,2,0,0,1996-01-22,1996,1
131,95012,50,0,0,9,25,8,2,2,4,0,0,1996-01-22,1996,1
132,95013,52,1,0,3,11,7,13,11,5,1,0,1996-01-22,1996,1
133,95014,81,3,4,0,0,0,7,38,27,2,0,1996-01-22,1996,1
134,95015,76,2,2,3,11,2,7,28,20,1,0,1996-01-22,1996,1
135,95016,52,0,0,4,27,11,5,5,0,0,0,1996-01-27,1996,1
